article,person,death_date,date_source,wd_precision,country,in_registry,decision,reason
Killing_of_Terence_Crutcher,Terence Crutcher,2016-09-16,wikidata,day,United States,True,include,"in range (2016-09-16, wikidata)"
Killing_of_Keith_Lamont_Scott,Keith Lamont Scott,2016-09-20,wikidata,day,,True,include,"in range (2016-09-20, wikidata)"
Killing_of_Alfred_Olango,Alfred Olango,2016-09-27,wikidata,day,,True,include,"in range (2016-09-27, wikidata)"
Killing_of_Deborah_Danner,Deborah Danner,2016-10-18,registry,none,,True,include,"in range (2016-10-18, registry)"
Murder_of_Jordan_Edwards,Jordan Edwards,2017-04-29,wikidata,day,United States,True,include,"in range (2017-04-29, wikidata)"
Killing_of_Patrick_Harmon,Patrick Harmon,2017-08-13,wikidata,day,,True,include,"in range (2017-08-13, wikidata)"
Killing_of_John_Albers,John Albers,2018-01-20,registry,none,,True,include,"in range (2018-01-20, registry)"
Killing_of_Anthony_Weber,Anthony Weber,2018-02-04,wikidata,day,,False,include,"in range (2018-02-04, wikidata)"
Killing_of_Claudia_Gómez_González,Claudia Gómez González,2018-05-23,registry,none,,False,include,"in range (2018-05-23, registry)"
Killing_of_Antwon_Rose_Jr.,Antwon Rose Jr.,2018-06-19,registry,none,,False,include,"in range (2018-06-19, registry)"
Killing_of_Markeis_McGlockton,Markeis McGlockton,2018-07-19,wikidata,day,United States,False,include,"in range (2018-07-19, wikidata)"
Killing_of_Daniel_Hambrick,Daniel Hambrick,2018-07-26,registry,none,,True,include,"in range (2018-07-26, registry)"
Vanessa_Marquez,Vanessa Marquez,2018-08-30,wikidata,day,,True,include,"in range (2018-08-30, wikidata)"
Death_of_Tamla_Horsford,Tamla Horsford,2018-11-04,wikidata,day,United States,False,include,"in range (2018-11-04, wikidata)"
Killing_of_Emantic_Fitzgerald_Bradford_Jr.,Emantic Fitzgerald Bradford Jr.,2018-11-22,registry,none,,False,include,"in range (2018-11-22, registry)"
Killing_of_George_Robinson,George Robinson,2019-01-13,wikidata,day,United States,True,include,"in range (2019-01-13, wikidata)"
Killing_of_Willie_McCoy,Willie McCoy,2019-02-09,registry,none,,True,include,"in range (2019-02-09, registry)"
Killing_of_Javier_Ambler,Javier Ambler,2019-03-28,wikidata,day,,False,include,"in range (2019-03-28, wikidata)"
Killing_of_Ronald_Greene,Ronald Greene,2019-05-10,registry,none,,True,include,"in range (2019-05-10, registry)"
