name,article,date,views
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-05,6
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-06,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-07,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-08,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-09,6
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-10,8
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-11,11
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-12,7
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-13,17
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-14,6
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-15,11
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-16,9
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-17,5
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-18,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-19,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-20,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-21,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-22,6
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-23,17
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-24,40
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-25,15
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-26,7
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-27,7
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-28,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-29,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-30,7
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-01,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-03,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-04,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-06,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-08,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-09,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-10,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-11,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-12,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-13,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-14,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-15,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-16,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-18,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-19,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-21,5
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-22,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-23,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-24,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-25,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-27,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-28,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-29,8
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-30,12
Breonna Taylor,Killing_of_Breonna_Taylor,2020-10-31,6
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-01,11
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-02,11
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-03,8
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-04,5
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-05,11
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-06,10
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-07,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-08,9
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-09,9
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-10,13
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-11,13
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-12,5
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-13,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-14,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-17,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-18,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-20,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-21,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-23,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-24,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-25,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-26,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-27,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-28,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-29,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-11-30,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-01,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-02,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-03,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-04,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-05,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-06,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-07,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-08,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-09,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-10,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-11,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-12,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-13,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-14,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-15,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-16,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-17,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-18,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-19,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-21,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-22,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-23,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-24,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-25,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-26,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-27,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-28,5
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-29,8
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-30,10
Breonna Taylor,Killing_of_Breonna_Taylor,2020-12-31,6
Rayshard Brooks,Killing_of_Rayshard_Brooks,2020-06-13,5279
Rayshard Brooks,Killing_of_Rayshard_Brooks,2020-06-14,90279
Rayshard Brooks,Killing_of_Rayshard_Brooks,2020-06-15,128992
Rayshard Brooks,Killing_of_Rayshard_Brooks,2020-06-16,69314
Rayshard Brooks,Killing_of_Rayshard_Brooks,2020-06-17,42166
Rayshard Brooks,Killing_of_Rayshard_Brooks,2020-06-18,79993
Rayshard Brooks,Killing_of_Rayshard_Brooks,2020-06-19,31433
Rayshard Brooks,Killing_of_Rayshard_Brooks,2020-06-20,19636
Rayshard Brooks,Killing_of_Rayshard_Brooks,2020-06-21,16352
Rayshard Brooks,Killing_of_Rayshard_Brooks,2020-06-22,20009
Rayshard Brooks,Killing_of_Rayshard_Brooks,2020-06-23,35534
