article,n_titles,canonical_views,all_titles_views,gain,titles
Killing_of_Tony_Robinson,4,11708,142522,12.17,Killing_of_Tony_Robinson | Tony_Robinson_(shooting_victim) | Tony_Terrell_Robinson_Jr. | Shooting_of_Tony_Robinson
Killing_of_Tony_Timpa,3,272105,278711,1.02,Killing_of_Tony_Timpa | Tony_Timpa | Murder_of_Tony_Timpa
Killing_of_Walter_Wallace,4,157237,158424,1.01,Killing_of_Walter_Wallace | Walter_Wallace_Jr. | Walter_wallace_jr | Walter_Wallace_Jr
Killing_of_Willie_McCoy,5,7992,175101,21.91,Killing_of_Willie_McCoy | Willie_McCoy | Willie_McCoy_(rapper) | Death_of_Willie_McCoy | Shooting_of_Willie_McCoy
Killing_of_Winston_Boogie_Smith,2,74418,91073,1.22,Killing_of_Winston_Boogie_Smith | Winston_Boogie_Smith
Killing_of_Zachary_Hammond,3,28073,141540,5.04,Killing_of_Zachary_Hammond | Zachary_Hammond | Shooting_of_Zachary_Hammond
Laquan_McDonald,1,37163,37163,1.0,Laquan_McDonald
Ma'Khia_Bryant,1,1400,1400,1.0,Ma'Khia_Bryant
Micah_Xavier_Johnson,1,42036,42036,1.0,Micah_Xavier_Johnson
Mohamed_Barry,1,932,932,1.0,Mohamed_Barry
Monroe_Isadore,1,486,486,1.0,Monroe_Isadore
Murder_of_Ahmaud_Arbery,20,2074504,5569268,2.68,Murder_of_Ahmaud_Arbery | Draft:Killing_of_Ahmaud_Arbery | Ahmaud_Arbery | Death_of_Ahmaud_Arbery | Lynching_of_Ahmaud_Arbery | Shooting_of_Ahmaud | Ahmaud_arbery | Ahmad_Arbery | Arbery | Ahmaud | Ahmaud_Arbrery | Shooting_of_Ahmaud_Arbery | Shooting_of_Ahmaud_Aubrey | Ahmaud_Aubrey | Shooting_of_Ahmed_Arbery | Shooting_of_Ahmad_Arbery | Ahmaud_Marquez_Arbery | Killing_of_Ahmaud_Arbery | Trial_for_the_killing_of_Ahmaud_Arbery | Ahmaud_Arbery_Day
Murder_of_Andre_Hill,4,7388,115237,15.6,Murder_of_Andre_Hill | Draft:Killing_of_Andre_Hill | Andre_Hill | Killing_of_Andre_Hill
Murder_of_George_Floyd,22,3889226,18639557,4.79,Murder_of_George_Floyd | George_Floyd_killing | George_Floyd_death | Reaction_to_the_killing_of_George_Floyd | Strangulation_of_George_Floyd | Suffocation_of_George_Floyd | The_Killing_of_George_Floyd | Floyd_killing | Death_of_George_Floyd | The_Death_of_George_Floyd | George_Floyd's_death | Killing_of_george_floyd | Police_killing_of_George_Floyd | Killing_of_George_Floyd | Manslaughter_of_George_Floyd | Police_murder_of_George_Floyd | George_Floyd_murder | Homicide_of_George_Floyd | George_Floyd_Killing | Assassination_of_George_Floyd | Killing_Of_George_Floyd | George_Floyd_shooting
Murder_of_James_Craig_Anderson,3,368733,377779,1.02,Murder_of_James_Craig_Anderson | James_Craig_Anderson | Death_of_James_Craig_Anderson
Murder_of_Jared_Lakey,2,25035,25073,1.0,Murder_of_Jared_Lakey | Jared_Lakey
Murder_of_Laquan_McDonald,4,1197079,2303429,1.92,Murder_of_Laquan_McDonald | Laquan_McDonald | The_shooting_of_Laquan_McDonald | Shooting_of_Laquan_McDonald
Murder_of_Renisha_McBride,6,190663,419752,2.2,Murder_of_Renisha_McBride | The_Renisha_McBride_Shooting | Renisha_McBride_Shooting | Renisha_McBride | Death_of_Renisha_McBride | Shooting_of_Renisha_McBride
Nengmy_Vang,1,146,146,1.0,Nengmy_Vang
Patrick_Lyoya,1,4710,4710,1.0,Patrick_Lyoya
Ronald_Greene,1,1490,1490,1.0,Ronald_Greene
Savannah_Graziano,1,19,19,1.0,Savannah_Graziano
Shooting_of_Charles_Kinsey,2,955156,955180,1.0,Shooting_of_Charles_Kinsey | Non-fatal_shooting_of_Charles_Kinsey
Shooting_of_Daniel_Shaver,5,3750114,4520781,1.21,Shooting_of_Daniel_Shaver | Daniel_Shaver | Killing_of_Daniel_Shaver | Death_of_Daniel_Shaver | Draft:The_killing_of_Daniel_Shaver
Shooting_of_Jacob_Blake,4,4266488,4323661,1.01,Shooting_of_Jacob_Blake | Jacob_Blake | Jake_Blake | Jacob_S._Blake
Tyre_Nichols,1,60138,60138,1.0,Tyre_Nichols
